student id,name,middle,last,class,section,mobile,whatsapp,email,guardian,status,serial no
120001,abc,kkkk,uuuu,12,A,45555555,56465,admin@123,zaaaa,1,633333
120002,bcd,llll,vvvv,11,B,5455545,84654,admin@45545,bccc,1,633333
120003,sde,mmmm,wwww,10,C,555555646,846546,admin@8522,hhhhnn,1,633333
120004,def,nnnn,xxxx,9,D,878787987,87878,admin@877,mmjj,1,633333
120005,efg,oooo,yyyy,8,E,4646556,56654564,admin@8585,fddfd,1,633333
120006,gfh,pppp,zzzz,7,F,5464654,54654,admin@58454,sads,1,633333
120007,fgr,qqqq,abbb,6,G,564564564,56465456,admin@78798,erere,1,633333
120008,dfd,rrrr,bccc,5,H,5456456,54654654,admin@9876,rrtr,1,633333
120009,dsfs,ssss,cddd,4,I,251231231,876545,admin@789845,dsds,1,633333
120010,rer,tttt,deee,3,J,52123564,57878,adimn@445,xcxc,1,633333
